0,1,2,3,4,5,6,7,8,9,,,,,14,15,16,17,18,19,20,21
1,scene#1(img).png,scene#1(choose).png,FADE_IN,MainTheme.mp3,NORMAL,,,,scene#1.txt,,,,,1,2,,,FALSE,FALSE,FALSE,1
2,scene#2(img).png,scene#2(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#2.txt,,,,,1,3,,,FALSE,FALSE,FALSE,1
3,scene#3(img).png,scene#3(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#3.txt,,,,,1,4,,,FALSE,FALSE,FALSE,1
4,scene#4(img).png,scene#4(choose).png,SHAKE,MainTheme.mp3,NORMAL,siren.mp3,0:05,NORMAL,scene#4.txt,,,,,1,5,,,FALSE,FALSE,FALSE,1
5,scene#5(img).png,scene#5(choose).png,NORMAL,MainTheme.mp3,NORMAL,flamethrower.mp3,0:05,NORMAL,scene#5.txt,,,,,3,6,8,7,FALSE,FALSE,FALSE,3
6,scene#6(img).png,scene#6(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#6.txt,,,,,1,4,,,FALSE,FALSE,FALSE,1
7,scene#7(img).png,scene#7(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#7.txt,,,,,1,4,,,FALSE,FALSE,FALSE,1
8,scene#8(img).png,scene#8(choose).png,NORMAL,MainTheme.mp3,NORMAL,walking.mp3,0:09,NORMAL,scene#8.txt,,,,,1,9,,,FALSE,FALSE,FALSE,1
9,scene#9(img).png,scene#9(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#9.txt,,,,,2,10,12,,FALSE,FALSE,FALSE,2
10,scene#10(img).png,scene#10(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#10.txt,,,,,1,5,,,FALSE,FALSE,FALSE,1
11,scene#11(img).png,scene#11(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#11.txt,,,,,1,5,,,FALSE,FALSE,FALSE,1
12,scene#12(img).png,scene#12(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#12.txt,,,,,2,11,13,,FALSE,FALSE,FALSE,2
