0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17
1|scene#1(img).png|scene#1(choose).png|1|MainTheme.mp3|||||scene#1.txt|가||||1|72||
2|scene#2(img).png|scene#2(choose).png|2|MainTheme.mp3|||||scene#2.txt|나||||1|73||
3|scene#3(img).png|scene#3(choose).png|3|MainTheme.mp3|||||scene#3.txt|가||||1|74||
4|scene#4(img).png|scene#4(choose).png|4|MainTheme.mp3||siren.mp3|5||scene#4.txt|나||||1|5||
5|scene#5(img).png|scene#5(choose).png|5|MainTheme.mp3||flamethrower.mp3|5||scene#5.txt|가||||3|6|8|7
6|scene#6(img).png|scene#6(choose).png|6|horror2.mp3||horror.mp3|4||scene#6.txt|나||||1|4||
7|scene#7(img).png|scene#7(choose).png|7|horror2.mp3||horror.mp3|4||scene#7.txt|가||||1|4||
8|scene#8(img).png|scene#8(choose).png|8|MainTheme.mp3||walking.mp3|9||scene#8.txt|나||||1|9||
9|scene#9(img).png|scene#9(choose).png|9|MainTheme.mp3|||||scene#9.txt|가||||2|10|12|
10|scene#10(img).png|scene#10(choose).png|10|horror2.mp3||horror.mp3|4||scene#10.txt|나||||1|5||
11|scene#11(img).png|scene#11(choose).png|11|horror2.mp3||horror.mp3|4||scene#11.txt|가||||1|5||
12|scene#12(img).png|scene#12(choose).png|12|MainTheme.mp3|||||scene#12.txt|나||||2|11|13|
13|scene#13(img).png|scene#13(choose).png|13|MainTheme.mp3||running.mp3|6||scene#13.txt|가||||2|14|15|
14|scene#14(img).png|scene#14(choose).png|14|horror2.mp3||horror.mp3|4||scene#14.txt|나||||1|9||
15|scene#15(img).png|scene#15(choose).png|15|MainTheme.mp3||break.mp3|4||scene#15.txt|가||||1|16||
16|scene#16(img).png|scene#16(choose).png|16|MainTheme.mp3||gateopen|3||scene#16.txt|나||||1|17||
17|scene#17(img).png|scene#17(choose).png|17|MainTheme.mp3|||||scene#17.txt|가||||2|18|19|
18|scene#18(img).png|scene#18(choose).png|18|horror2.mp3||horror.mp3|4||scene#18.txt|나||||2|13|4|
19|scene#19(img).png|scene#19(choose).png|19|MainTheme.mp3|||||scene#19.txt|가||||2|20|21|
20|scene#20(img).png|scene#20(choose).png|20|horror2.mp3||horror.mp3|4||scene#20.txt|나||||2|17|4|
21|scene#21(img).png|scene#21(choose).png|21|MainTheme.mp3||running.mp3|6||scene#21.txt|가||||1|22||
22|scene#22(img).png|scene#22(choose).png|22|ControlCenter.mp3||gateopen|3||scene#22.txt|나||||2|75||
23|scene#23(img).png|scene#23(choose).png|23|horror2.mp3||horror.mp3|4||scene#23.txt|가||||2|19|4|
24|scene#24(img).png|scene#24(choose).png|24|ControlCenter.mp3|||||scene#24.txt|나||||1|25||
25|scene#25(img).png|scene#25(choose).png|25|ControlCenter.mp3||knock|2||scene#25.txt|가||||2|28|26|
26|scene#26(img).png|scene#26(choose).png|26|ControlCenter.mp3|||||scene#26.txt|나||||2|261|27|
27|scene#27(img).png|scene#27(choose).png|27|horror2.mp3||horror.mp3|4||scene#27.txt|가||||2|25|4|
28|scene#28(img).png|scene#28(choose).png|28|ControlCenter.mp3|||||scene#28.txt|나||||2|30|29|
29|scene#29(img).png|scene#29(choose).png|29|horror2.mp3||horror.mp3|4||scene#29.txt|가||||2|25|4|
30|scene#30(img).png|scene#30(choose).png|30|ControlCenter.mp3||break.mp3|4||scene#30.txt|나||||1|76||
